SENTENCE,TAG,NER
Średnie spalanie w Toyocie yaris,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie auris,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie prius,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie aygo,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie camry,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie corolla,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie avensis,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie ch-r,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie highlander,średnie_spalanie,O O O O B-MODEL 
Średnie spalanie w Toyocie sequoia,średnie_spalanie,O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie yaris,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie auris,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie prius,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie aygo,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie camry,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie corolla,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie avensis,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie ch-r,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie highlander,średnie_spalanie,O O O O O O B-MODEL 
Jakie jest średnie spalanie w Toyocie sequoia,średnie_spalanie,O O O O O O B-MODEL 
Toyota yaris średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota auris średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota prius średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota aygo średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota camry średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota corolla średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota avensis średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota ch-r średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota highlander średnie spalanie,średnie_spalanie,O B-MODEL O O 
Toyota sequoia średnie spalanie,średnie_spalanie,O B-MODEL O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile pali Toyota,średnie_spalanie,O O O 
Ile litrów paliwa spala Toyota yaris,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota auris,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota prius,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota aygo,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota camry,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota corolla,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota avensis,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota ch-r,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota highlander,średnie_spalanie,O O O O O B-MODEL 
Ile litrów paliwa spala Toyota sequoia,średnie_spalanie,O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie yaris,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie auris,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie prius,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie aygo,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie camry,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie corolla,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie avensis,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie ch-r,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie highlander,średnie_spalanie,O O O O O O O B-MODEL 
A ile wynosi średnie spalanie w Toyocie sequoia,średnie_spalanie,O O O O O O O B-MODEL 
Spalanie paliwa w Toyocie yaris,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie auris,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie prius,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie aygo,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie camry,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie corolla,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie avensis,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie ch-r,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie highlander,średnie_spalanie,O O O O B-MODEL 
Spalanie paliwa w Toyocie sequoia,średnie_spalanie,O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie yaris,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie auris,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie prius,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie aygo,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie camry,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie corolla,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie avensis,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie ch-r,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie highlander,średnie_spalanie,O O O O O O B-MODEL 
Ile wynosi średnie spalanie w Toyocie sequoia,średnie_spalanie,O O O O O O B-MODEL 
Średnie spalanie,średnie_spalanie,O O 
Średnie spalanie w tym samochodzie,średnie_spalanie,O O O O O 
Średnie spalanie w tym aucie,średnie_spalanie,O O O O O 
A jakie jest średnie spalanie,średnie_spalanie,O O O O O 
Jakie jest średnie spalanie,średnie_spalanie,O O O O 
